plot,geno
D1,OACRex
D2,Navigator
D3,OACThunder
D4,VAX1
D5,Avalanche
D6,Pv239
D7,Expresso
D8,Centa Pupil
D9,Portage
D10,KBrazilian
D11,Vista
D12,Seaforth
D13,CDCWM2
D14,AC compass
D15,Tepary22
D16,Pv230
D17,Lightning
D18,Nautica
D19,Envoy
D20,Tepary32
D21,Nautica
D22,Tepary22
D23,Avalanche
D24,Tepary32
D25,Lightning
D26,CDCWM2
D27,Centa Pupil
D28,AC compass
D29,OACThunder
D30,VAX1
D31,Navigator
D32,OACRex
D33,Expresso
D34,Pv230
D35,Envoy
D36,Vista
D37,Seaforth
D38,KBrazilian
D39,Portage
D40,Pv239
D41,Nautica
D42,CDCWM2
D43,OACRex
D44,AC compass
D45,Centa Pupil
D46,KBrazilian
D47,Pv239
D48,Tepary32
D49,VAX1
D50,Pv230
D51,OACThunder
D52,Portage
D53,Vista
D54,Avalanche
D55,Expressso
D56,Envoy
D57,Seaforth
D58,Navigator
D59,Tepary22
D60,Lightning
D61,OACThunder
D62,Tepary32
D63,AC compass
D64,OACRex
D65,Portage
D66,Pv239
D67,Tepary22
D68,Avalanche
D69,Navigator
D70,CDCWM2
D71,Nautica
D72,VAX1
D73,Expressso
D74,Seaforth
D75,Vista
D76,KBrazilian
D77,Lightning
D78,Centa Pupil
D79,Pv230
D80,Envoy
1,RIJC208
2,RIJC223
3,RIJC136
4,RIJC048
5,RIJC247
6,RIJC066
7,RIJC019
8,RIJC313
9,TM3
10,RIJC368
11,TM2
12,RIJC025
13,RIJC220
14,TM4
15,RIJC079
16,RIJC217
17,RIJC337
18,RIJC250
19,RIJC254
20,RIJC059
21,RIJC003
22,RIJC363
23,RIJC146
24,JAM
25,RIJC243
26,RIJC237
27,RIJC065
28,RIJC203
29,RIJC206
30,RIJC373
31,RIJC242
32,RIJC018
33,RIJC370
34,RIJC074
35,RIJC081
36,RIJC071
37,RIJC142
38,RIJC224
39,RIJC230
40,RIJC347
41,RIJC236
42,RIJC145
43,RIJC234
44,RIJC255
45,RIJC138
46,RIJC045
47,RIJC355
48,RIJC080
49,RIJC319
50,RIJC232
51,RIJC082
52,RIJC147
53,RIJC260
54,RIJC212
55,RIJC070
56,RIJC141
57,RIJC205
58,RIJC140
59,RIJC331
60,RIJC049
61,RIJC251
62,RIJC372
63,RIJC364
64,TM9
65,CAL
66,RIJC016
67,RIJC327
68,RIJC046
69,TM10
70,RIJC233
71,RIJC316
72,RIJC073
73,TM5
74,RIJC326
75,RIJC027
76,RIJC248
77,RIJC069
78,RIJC139
79,RIJC348
80,RIJC262
81,CAL
82,RIJC330
83,RIJC078
84,RIJC335
85,RIJC047
86,RIJC264
87,RIJC015
88,RIJC020
89,RIJC017
90,RIJC004
91,RIJC374
92,TM6
93,RIJC225
94,TM1
95,RIJC002
96,RIJC240
97,TM8
98,RIJC367
99,RIJC324
100,RIJC005
101,RIJC344
102,JAM
103,RIJC261
104,RIJC302
105,RIJC001
106,RIJC361
107,RIJC334
108,RIJC214
109,RIJC238
110,RIJC352
111,RIJC314
112,RIJC235
113,RIJC076
114,RIJC241
115,RIJC244
116,TM7
117,RIJC035
118,RIJC030
119,RIJC021
120,RIJC144
121,RIJC205
122,RIJC313
123,RIJC141
124,RIJC368
125,RIJC370
126,JAM
127,RIJC046
128,RIJC066
129,RIJC234
130,RIJC364
131,RIJC027
132,RIJC254
133,RIJC080
134,RIJC240
135,RIJC326
136,TM4
137,RIJC073
138,RIJC048
139,TM3
140,RIJC212
141,RIJC146
142,CAL
143,RIJC070
144,RIJC082
145,RIJC260
146,RIJC071
147,RIJC045
148,RIJC047
149,RIJC233
150,RIJC373
151,RIJC348
152,RIJC347
153,RIJC352
154,RIJC078
155,RIJC374
156,RIJC004
157,RIJC002
158,RIJC142
159,CAL
160,RIJC236
161,RIJC065
162,RIJC005
163,TM1
164,RIJC021
165,RIJC319
166,RIJC018
167,RIJC225
168,RIJC242
169,RIJC314
170,RIJC069
171,RIJC049
172,RIJC372
173,RIJC076
174,RIJC248
175,RIJC016
176,RIJC214
177,RIJC140
178,RIJC001
179,TM7
180,TM9
181,RIJC244
182,TM10
183,RIJC344
184,RIJC238
185,TM2
186,RIJC251
187,RIJC327
188,RIJC059
189,RIJC363
190,TM5
191,RIJC324
192,RIJC316
193,RIJC264
194,RIJC247
195,RIJC139
196,TM6
197,RIJC020
198,RIJC220
199,RIJC335
200,RIJC243
201,RIJC015
202,RIJC223
203,RIJC361
204,RIJC355
205,JAM
206,RIJC019
207,RIJC138
208,RIJC261
209,RIJC017
210,RIJC337
211,RIJC217
212,RIJC330
213,RIJC025
214,RIJC136
215,RIJC003
216,RIJC262
217,RIJC230
218,RIJC235
219,RIJC147
220,RIJC241
221,RIJC367
222,RIJC250
223,RIJC145
224,RIJC302
225,RIJC074
226,RIJC035
227,RIJC255
228,RIJC144
229,RIJC232
230,RIJC334
231,RIJC081
232,RIJC237
233,RIJC203
234,RIJC030
235,RIJC208
236,RIJC224
237,TM8
238,RIJC079
239,RIJC206
240,RIJC331
241,RIJC331
242,CAL
243,RIJC004
244,RIJC079
245,RIJC136
246,RIJC147
247,RIJC337
248,RIJC241
249,RIJC367
250,RIJC019
251,RIJC235
252,RIJC335
253,RIJC208
254,RIJC205
255,CAL
256,RIJC045
257,RIJC348
258,RIJC070
259,TM6
260,RIJC142
261,RIJC232
262,RIJC020
263,RIJC373
264,RIJC250
265,RIJC240
266,RIJC327
267,RIJC370
268,RIJC076
269,RIJC334
270,RIJC146
271,TM1
272,TM8
273,RIJC224
274,RIJC030
275,RIJC074
276,RIJC244
277,RIJC254
278,RIJC234
279,RIJC326
280,RIJC078
281,RIJC080
282,RIJC374
283,RIJC001
284,RIJC206
285,TM3
286,RIJC140
287,RIJC027
288,RIJC316
289,RIJC025
290,RIJC314
291,RIJC141
292,RIJC233
293,RIJC217
294,RIJC005
295,RIJC048
296,RIJC021
297,RIJC066
298,RIJC347
299,TM4
300,RIJC017
301,RIJC212
302,RIJC319
303,RIJC220
304,RIJC015
305,RIJC236
306,RIJC260
307,RIJC264
308,RIJC242
309,RIJC352
310,RIJC344
311,TM7
312,RIJC082
313,RIJC065
314,RIJC251
315,RIJC255
316,RIJC223
317,RIJC144
318,RIJC225
319,RIJC081
320,RIJC059
321,RIJC248
322,RIJC363
323,RIJC018
324,RIJC049
325,TM5
326,RIJC002
327,RIJC071
328,RIJC035
329,TM2
330,RIJC230
331,RIJC247
332,RIJC302
333,TM10
334,RIJC047
335,RIJC069
336,RIJC003
337,RIJC368
338,TM9
339,RIJC238
340,RIJC361
341,RIJC324
342,RIJC364
343,RIJC262
344,RIJC073
345,RIJC016
346,JAM
347,RIJC355
348,RIJC203
349,RIJC145
350,RIJC261
351,RIJC330
352,RIJC046
353,RIJC313
354,JAM
355,RIJC243
356,RIJC214
357,RIJC138
358,RIJC237
359,RIJC372
360,RIJC139
361,RIJC001
362,RIJC045
363,RIJC212
364,RIJC020
365,RIJC223
366,RIJC142
367,RIJC251
368,RIJC082
369,TM10
370,RIJC234
371,RIJC355
372,RIJC370
373,RIJC003
374,RIJC080
375,RIJC138
376,RIJC373
377,RIJC244
378,RIJC141
379,RIJC243
380,TM6
381,RIJC247
382,RIJC076
383,RIJC049
384,RIJC335
385,TM8
386,RIJC232
387,RIJC330
388,RIJC316
389,RIJC217
390,RIJC237
391,RIJC025
392,RIJC260
393,RIJC319
394,RIJC030
395,RIJC047
396,RIJC331
397,RIJC225
398,RIJC262
399,RIJC002
400,RIJC145
401,RIJC233
402,RIJC139
403,RIJC203
404,RIJC140
405,RIJC220
406,RIJC147
407,RIJC327
408,RIJC334
409,RIJC015
410,RIJC081
411,RIJC017
412,RIJC235
413,RIJC070
414,RIJC248
415,RIJC326
416,RIJC324
417,RIJC066
418,CAL
419,RIJC240
420,RIJC241
421,RIJC048
422,RIJC069
423,RIJC214
424,RIJC027
425,TM4
426,RIJC264
427,RIJC205
428,RIJC367
429,RIJC255
430,TM5
431,RIJC238
432,RIJC230
433,RIJC352
434,RIJC073
435,RIJC146
436,RIJC261
437,RIJC374
438,RIJC254
439,RIJC035
440,TM1
441,RIJC046
442,RIJC019
443,RIJC021
444,RIJC136
445,TM3
446,JAM
447,RIJC005
448,RIJC071
449,RIJC361
450,RIJC302
451,RIJC065
452,RIJC337
453,RIJC144
454,RIJC078
455,RIJC018
456,RIJC364
457,TM9
458,RIJC208
459,RIJC016
460,RIJC079
461,RIJC074
462,TM7
463,RIJC206
464,RIJC363
465,RIJC344
466,RIJC224
467,RIJC368
468,CAL
469,RIJC347
470,RIJC314
471,TM2
472,RIJC236
473,RIJC372
474,RIJC242
475,RIJC004
476,JAM
477,RIJC348
478,RIJC313
479,RIJC059
480,RIJC250
