x	LOC	DL	SRAD	TMIN	TMEAN	TMAX
0	PA16	11.9	35.98	20.44	27.08	36.41
1	PA16	11.9	36.68	22.52	27.55	35.46
2	PA16	11.91	15.87	21.74	23.65	28.85
3	PA16	11.91	29.78	20.48	25.3	32.46
4	PA16	11.91	32.44	21.65	26.04	34.11
5	PA16	11.91	34.23	19.98	25.4	34.3
6	PA16	11.92	25.12	20.73	24.84	33.38
7	PA16	11.92	26	21.26	25.66	33.66
8	PA16	11.92	33.17	22.15	26.68	34.86
9	PA16	11.93	32.22	22.65	26.83	34.78
10	PA16	11.93	36.46	22.24	27.2	34.58
11	PA16	11.93	29.17	21.5	26.72	33.4
12	PA16	11.93	13.22	20.23	22.95	28.12
13	PA16	11.94	24.4	20.68	25.04	31.44
14	PA16	11.94	23.57	19.61	22.66	31.04
15	PA16	11.94	31.88	19.71	24.86	32.47
16	PA16	11.95	25.78	19.32	23.45	31.96
17	PA16	11.95	33.64	19.43	23.87	32.22
18	PA16	11.95	29.04	19.48	24	31.65
19	PA16	11.96	32.5	19.05	24.71	33.63
20	PA16	11.96	32.5	19.05	24.71	33.63
21	PA16	11.96	27.87	20.98	24.87	32.12
22	PA16	11.97	30.44	21.43	25	30.24
23	PA16	11.97	22.93	20.5	24.23	30.65
24	PA16	11.97	37.58	20.26	25.57	33.6
25	PA16	11.97	36.82	21.36	26.46	33.98
26	PA16	11.98	35.81	21.29	26.11	33.23
27	PA16	11.98	26.74	21.17	25.01	31.33
28	PA16	11.98	28.41	20.91	24.88	31.9
29	PA16	11.99	29.85	20.12	25.13	32.24
30	PA16	11.99	36.44	21.89	26.18	33.17
31	PA16	11.99	19.63	21.15	25.01	30.49
32	PA16	12	31.75	21.21	25.77	33.82
33	PA16	12	28.59	22.16	26.01	31.99
34	PA16	12	37.91	20.85	26.44	34.87
35	PA16	12.01	38.71	22.04	27.32	35.43
36	PA16	12.01	37.86	20.9	26.88	35.23
37	PA16	12.01	31.7	22.39	26.67	34.31
38	PA16	12.02	31.73	20.32	25.4	32.78
39	PA16	12.02	37.77	19.6	26.27	35.28
40	PA16	12.02	14.7	21.02	23.7	28.83
41	PA16	12.03	21.15	20.52	24.24	28.79
42	PA16	12.03	34.79	20.93	24.79	30.81
43	PA16	12.03	9.54	20.05	21.26	24.54
44	PA16	12.04	33.18	19.43	23.96	31.06
45	PA16	12.04	27.12	21	24.14	29.39
46	PA16	12.04	34.39	20.62	24.64	32.23
47	PA16	12.04	41.41	20.91	26.18	33.81
48	PA16	12.05	35.24	21.92	26.02	32.21
49	PA16	12.05	33.5	22.22	26.52	32.41
50	PA16	12.05	16.31	21.7	23.72	28.58
51	PA16	12.06	22.52	21.07	24.41	31.05
52	PA16	12.06	30.56	20.42	23.75	31.41
53	PA16	12.06	14.98	19.85	21.84	25.5
54	PA16	12.07	34.19	20.16	23.63	30.01
55	PA16	12.07	36.51	20.75	25.26	31.51
56	PA16	12.07	41.62	20.78	26.08	34.01
57	PA16	12.08	40.16	21.82	25.15	30.18
58	PA16	12.08	28.88	20.7	24.87	30.93
59	PA16	12.08	28.13	21.46	25.35	30.98
60	PA16	12.09	38.32	20.28	25.55	32.77
61	PA16	12.09	36.26	21.57	25.8	32.72
62	PA16	12.09	37	20.58	26.22	34.24
63	PA16	12.09	22.58	22.03	25.46	30.45
64	PA16	12.1	26.22	21.19	24.81	30.53
65	PA16	12.1	15.45	20.31	22.81	26.98
66	PA16	12.1	36.34	20.2	24.44	32.19
67	PA16	12.11	32.99	20.84	24.84	30.85
68	PA16	12.11	33.14	21.07	23.83	31.36
69	PA16	12.11	20.66	20.55	22.83	28.72
70	PA16	12.11	27.73	20.25	23.67	29.79
71	PA16	12.12	19.77	19.06	23.16	28.51
72	PA16	12.12	18.64	19.24	22.39	26.94
