plot,H11
1,7/5/2016
2,6/30/2016
3,6/30/2016
4,7/9/2016
5,7/11/2016
6,7/12/2016
7,7/5/2016
8,6/30/2016
9,7/7/2016
10,7/9/2016
11,6/14/2016
12,7/12/2016
13,7/5/2016
14,6/14/2016
15,6/30/2016
16,6/14/2016
17,7/11/2016
18,7/12/2016
19,7/5/2016
20,7/7/2016
21,7/7/2016
22,7/11/2016
23,7/11/2016
24,7/12/2016
25,7/5/2016
26,6/30/2016
27,7/7/2016
28,7/11/2016
29,7/11/2016
30,7/12/2016
31,7/5/2016
32,6/30/2016
33,7/7/2016
34,7/11/2016
35,7/12/2016
36,7/12/2016
37,7/5/2016
38,6/30/2016
39,7/7/2016
41,7/12/2016
42,6/23/2016
43,7/5/2016
44,7/7/2016
45,7/7/2016
46,7/9/2016
47,7/12/2016
48,7/12/2016
49,6/14/2016
50,6/30/2016
51,7/7/2016
52,7/9/2016
53,7/12/2016
55,7/7/2016
56,7/7/2016
57,7/7/2016
58,8/6/2016
59,7/12/2016
60,7/12/2016
61,7/7/2016
62,6/30/2016
63,7/7/2016
64,6/16/2016
65,7/12/2016
66,7/12/2016
67,7/7/2016
68,7/7/2016
69,7/7/2016
70,8/7/2016
71,7/12/2016
72,7/12/2016
73,6/21/2016
75,7/7/2016
76,7/9/2016
77,7/12/2016
78,7/12/2016
79,7/5/2016
80,7/7/2016
81,7/7/2016
82,7/9/2016
83,7/12/2016
84,7/12/2016
85,7/7/2016
86,6/21/2016
87,7/9/2016
88,6/21/2016
89,7/12/2016
90,7/12/2016
91,7/7/2016
92,6/21/2016
93,6/16/2016
94,6/16/2016
95,7/12/2016
96,6/23/2016
97,7/5/2016
98,6/30/2016
99,7/7/2016
100,7/11/2016
101,7/12/2016
102,6/23/2016
103,7/5/2016
104,6/30/2016
105,7/9/2016
106,7/11/2016
107,7/12/2016
108,7/12/2016
109,7/5/2016
110,6/30/2016
111,7/9/2016
112,7/11/2016
113,7/12/2016
114,7/12/2016
115,7/7/2016
116,6/14/2016
117,7/7/2016
118,7/11/2016
119,7/12/2016
120,7/12/2016
121,7/13/2016
122,7/13/2016
123,7/13/2016
124,7/14/2016
125,7/14/2016
126,7/14/2016
127,6/27/2016
128,7/13/2016
129,7/13/2016
130,7/14/2016
131,7/14/2016
132,7/14/2016
134,6/27/2016
135,7/13/2016
136,6/17/2016
137,7/14/2016
138,7/14/2016
139,7/13/2016
140,6/27/2016
141,7/13/2016
142,7/14/2016
143,7/14/2016
144,7/14/2016
145,7/13/2016
146,7/13/2016
147,7/13/2016
148,7/14/2016
149,6/27/2016
150,7/14/2016
151,7/13/2016
152,7/13/2016
153,7/13/2016
154,7/14/2016
