HNO,plot,Code,cm^2,STDEV,Perimeter,Circ,,Round,Solidity,Lengths (cm) or Major,Minor,Angle,Length 2 cm
H1,24,PL1,21.943,0.624,,,,,,,,,
H1,24,PL2,21.795,0.03,,,,,,,,,
H1,24,STEM,2.257,0,,,,,,,,,
H2,24,PL1,22.634,0.223,,,,,,,,,
H2,24,PL2,21.664,1.545,,,,,,,,,
H2,24,V1,41.625,1.521,,,,,,,,,
H2,24,V2,13.641,0.48,,,,,,,,,
H2,24,V3,0.791,0,,,,,,,,,
H2,24,STEM,4.909,2.051,,,,,,,,,
H3,24,PL1,20.115,0.368,,,,,,,,,
H3,24,PL2,17.033,0.751,,,,,,,,,
H3,24,V1,68.711,0.518,,,,,,,,,
H3,24,V2,122.209,2.86,,,,,,,,,
H3,24,V3,39.461,1.625,,,,,,,,,
H3,24,V4,8.299,2.538,,,,,,,,,
H3,24,V5,0.811,0.357,,,,,,,,,
H3,24,STEM,12.403,0.926,,,,,,,,,
H3,24,B1,2.443,0.336,,,,,,,,,
H4,24,PL1,36.434,2.492,,,,,,,,,
H4,24,PL2,25.739,1.424,,,,,,,,,
H4,24,V1,160.084,1.211,,,,,,,,,
H4,24,V2,113.67,2.662,,,,,,,,,
H4,24,V3,79.362,3.553,,,,,,,,,
H4,24,V4,172.397,0.907,,,,,,,,,
H4,24,V5,213.871,0.566,,,,,,,,,
H4,24,V6,172.789,2.544,,,,,,,,,
H4,24,V7,54.875,7.709,,,,,,,,,
H4,24,V8,8.306,0.212,,,,,,,,,
H4,24,V9,1.083,0,,,,,,,,,
H4,24,STEM,91.058,17.841,,,,,,,,,
H4,24,B1,168.493,4.4,,,,,,,,,
H4,24,B2,57.312,8.04,,,,,,,,,
H4,24,B3,99.863,1.321,,,,,,,,,
H4,24,B4,56.577,2.545,,,,,,,,,
H4,24,B5,5.191,1.361,,,,,,,,,
H4,24,B6,142.144,0.362,,,,,,,,,
H4,24,B7,111.242,1.003,,,,,,,,,
H4,24,B8,51.239,4.02,,,,,,,,,
H4,24,B9,29.449,3.878,,,,,,,,,
H4,24,B10,4.644,1.636,,,,,,,,,
H4,24,B11,3.28,3.84,,,,,,,,,
H4,24,B12,2.828,2.779,,,,,,,,,
H4,24,B13,1.065,0,,,,,,,,,
H4,24,B14,0.698,0,,,,,,,,,
H4,24,B15,0.701,0.946,,,,,,,,,
H4,24,B16,0.54,0.678,,,,,,,,,
