IDSORT,Rep, Iblock,  plot,position,Actual Planting ,Genot,Col,Row
1,1,1,1,1,March,RIJC_208,1,1
2,1,1,2,2,March,RIJC_019,2,1
3,1,1,3,3,March,RIJC_220,3,1
4,1,1,4,4,March,RIJC_254,4,1
5,1,1,5,21,March,RIJC_223,1,2
6,1,1,6,22,March,RIJC_313,2,2
7,1,1,7,23,March,TM-4,3,2
8,1,1,8,24,March,RIJC_059,4,2
9,1,2,1,5,March,RIJC_243,5,1
10,1,2,2,6,March,RIJC_242,6,1
11,1,2,3,7,March,RIJC_142,7,1
12,1,2,4,8,March,RIJC_234,8,1
13,1,2,5,25,March,RIJC_237,5,2
14,1,2,6,26,March,RIJC_018,6,2
15,1,2,7,27,March,RIJC_224,7,2
16,1,2,8,28,March,RIJC_255,8,2
17,1,3,1,9,March,RIJC_319,9,1
18,1,3,2,10,March,RIJC_070,10,1
19,1,3,3,11,March,RIJC_251,11,1
20,1,3,4,12,March,RIJC_327,12,1
21,1,3,5,29,March,RIJC_232,9,2
22,1,3,6,30,March,RIJC_141,10,2
23,1,3,7,31,March,RIJC_372,11,2
24,1,3,8,32,March,RIJC_046,12,2
25,1,4,1,13,March,TM-5,13,1
26,1,4,2,14,March,RIJC_348,14,1
27,1,4,3,15,March,RIJC_047,15,1
28,1,4,4,16,March,RIJC_374,16,1
29,1,4,5,33,March,RIJC_326,13,2
30,1,4,6,34,March,RIJC_262,14,2
31,1,4,7,35,March,RIJC_264,15,2
32,1,4,8,36,March,TM-6,16,2
33,1,5,1,17,March,TM-8,17,1
34,1,5,2,18,March,RIJC_261,18,1
35,1,5,3,19,March,RIJC_238,19,1
36,1,5,4,20,March,RIJC_244,20,1
37,1,5,5,37,March,RIJC_367,17,2
38,1,5,6,38,March,RIJC_302,18,2
39,1,5,7,39,March,RIJC_352,19,2
40,1,5,8,40,March,TM-7,20,2
41,1,6,1,41,March,RIJC_136,1,3
42,1,6,2,42,March,TM-3,2,3
43,1,6,3,43,March,RIJC_079,3,3
44,1,6,4,44,March,RIJC_003,4,3
45,1,6,5,61,March,RIJC_048,1,4
46,1,6,6,62,March,RIJC_368,2,4
47,1,6,7,63,March,RIJC_217,3,4
48,1,6,8,64,March,RIJC_363,4,4
49,1,7,1,45,March,RIJC_065,5,3
50,1,7,2,46,March,RIJC_370,6,3
51,1,7,3,47,March,RIJC_230,7,3
52,1,7,4,48,March,RIJC_138,8,3
53,1,7,5,65,March,RIJC_203,5,4
54,1,7,6,66,March,RIJC_074,6,4
55,1,7,7,67,March,RIJC_347,7,4
56,1,7,8,68,March,RIJC_045,8,4
57,1,8,1,49,March,RIJC_082,9,3
58,1,8,2,50,March,RIJC_205,10,3
59,1,8,3,51,March,RIJC_364,11,3
60,1,8,4,52,March,TM-10,12,3
61,1,8,5,69,March,RIJC_147,9,4
62,1,8,6,70,March,RIJC_140,10,4
63,1,8,7,71,March,TM-9,11,4
64,1,8,8,72,March,RIJC_233,12,4
65,1,9,1,53,March,RIJC_027,13,3
66,1,9,2,54,March,Calima,14,3
67,1,9,3,55,March,RIJC_015,15,3
68,1,9,4,56,March,RIJC_225,16,3
69,1,9,5,73,March,RIJC_248,13,4
70,1,9,6,74,March,RIJC_330,14,4
71,1,9,7,75,March,RIJC_020,15,4
72,1,9,8,76,March,TM-1,16,4
73,1,10,1,57,March,RIJC_324,17,3
74,1,10,2,58,March,RIJC_001,18,3
75,1,10,3,59,March,RIJC_314,19,3
76,1,10,4,60,March,RIJC_035,20,3
77,1,10,5,77,March,RIJC_005,17,4
78,1,10,6,78,March,RIJC_361,18,4
79,1,10,7,79,March,RIJC_235,19,4
80,1,10,8,80,March,RIJC_030,20,4
81,1,11,1,81,March,RIJC_247,1,5
82,1,11,2,82,March,TM-2,2,5
83,1,11,3,83,March,RIJC_337,3,5
84,1,11,4,84,March,RIJC_146,4,5
85,1,11,5,101,March,RIJC_066,1,6
86,1,11,6,102,March,RIJC_025,2,6
87,1,11,7,103,March,RIJC_250,3,6
88,1,11,8,104,March,Jamapa,4,6
89,1,12,1,85,March,RIJC_206,5,5
90,1,12,2,86,March,RIJC_081,6,5
91,1,12,3,87,March,RIJC_236,7,5
92,1,12,4,88,March,RIJC_355,8,5
93,1,12,5,105,March,RIJC_373,5,6
94,1,12,6,106,March,RIJC_071,6,6
95,1,12,7,107,March,RIJC_145,7,6
96,1,12,8,108,March,RIJC_080,8,6
97,1,13,1,89,March,RIJC_260,9,5
98,1,13,2,90,March,RIJC_331,10,5
99,1,13,3,91,March,Calima,11,5
100,1,13,4,92,March,RIJC_316,12,5
101,1,13,5,109,March,RIJC_212,9,6
102,1,13,6,110,March,RIJC_049,10,6
103,1,13,7,111,March,RIJC_016,11,6
104,1,13,8,112,March,RIJC_073,12,6
105,1,14,1,93,March,RIJC_069,13,5
106,1,14,2,94,March,RIJC_078,14,5
107,1,14,3,95,March,RIJC_017,15,5
108,1,14,4,96,March,RIJC_002,16,5
109,1,14,5,113,March,RIJC_139,13,6
110,1,14,6,114,March,RIJC_335,14,6
111,1,14,7,115,March,RIJC_004,15,6
112,1,14,8,116,March,RIJC_240,16,6
113,1,15,1,97,March,RIJC_344,17,5
114,1,15,2,98,March,RIJC_334,18,5
115,1,15,3,99,March,RIJC_076,19,5
116,1,15,4,100,March,RIJC_021,20,5
117,1,15,5,117,March,Jamapa,17,6
118,1,15,6,118,March,RIJC_214,18,6
119,1,15,7,119,March,RIJC_241,19,6
120,1,15,8,120,March,RIJC_144,20,6
121,2,1,1,1,May,RIJC_331,21,1
122,2,1,2,2,May,RIJC_337,22,1
123,2,1,3,3,May,RIJC_208,23,1
124,2,1,4,4,May,TM-6,24,1
125,2,1,5,21,May,Calima,21,2
126,2,1,6,22,May,RIJC_241,22,2
127,2,1,7,23,May,RIJC_205,23,2
128,2,1,8,24,May,RIJC_142,24,2
129,2,2,1,5,May,RIJC_240,25,1
130,2,2,2,6,May,TM-1,26,1
131,2,2,3,7,May,RIJC_254,27,1
132,2,2,4,8,May,RIJC_001,28,1
133,2,2,5,25,May,RIJC_327,25,2
134,2,2,6,26,May,TM-8,26,2
135,2,2,7,27,May,RIJC_234,27,2
136,2,2,8,28,May,RIJC_206,28,2
137,2,3,1,9,May,RIJC_025,29,1
138,2,3,2,10,May,RIJC_048,30,1
139,2,3,3,11,May,RIJC_212,31,1
140,2,3,4,12,May,RIJC_264,32,1
141,2,3,5,29,May,RIJC_314,29,2
142,2,3,6,30,May,RIJC_021,30,2
143,2,3,7,31,May,RIJC_319,31,2
144,2,3,8,32,May,RIJC_242,32,2
145,2,4,1,13,May,RIJC_065,33,1
