site,Plot ID,Plot ID_input,Plant ID,Plant No. in plot,Leaf No. (n),"Leaf Length, L(n), >2.5cm","L(n+1), <2.5cm",Leaf No. (n),"Leaf Length, L(n), >2.5cm","L(n+1), <2.5cm",Leaf No. (n),"Leaf Length, L(n), >2.5cm","L(n+1), <2.5cm",PIT1,PIT2,PIT3,Planting Date,T1 Date,T2Date,T3Date,T1 (DAP),T2(DAP),T3(DAP)
1,1,1,P1,,2,4.5,0.9,3,3.4,0.9,4,3.2,1,2.36521,3.23134,4.21223,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,1,1,P2,,2,5.5,1.1,3,4.4,1.1,4,2.7,1,2.48990,3.40779,4.07748,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,1,1,P3,,2,6.3,1.8,3,8.3,2.1,4,7.7,1.9,2.73778,3.87313,4.80388,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,2,2,P1,,3,4.5,1,4,4.8,0.4,4,11.7,0.6,3.39080,4.26251,4.51956,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,2,2,P2,,3,3.7,1.6,4,3.2,0.4,4,10,1.1,3.46765,4.11871,4.62806,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,2,2,P3,,2,5.3,1.9,3,6.8,2,4,6.3,0.9,2.73248,3.81766,4.47498,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,3,3,P1,,2,3.2,1,3,3.8,1.3,4,4.5,1.4,2.21223,3.39036,4.50341,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,3,3,P2,,3,3,0.9,4,2.7,0.7,4,8.3,2.1,3.15143,4.05701,4.87313,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,3,3,P3,,2,6.9,1.6,3,5.4,1.3,4,4.2,1.5,2.69464,3.54079,4.50387,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,4,4,P1,,2,5.3,1.7,3,5,1.4,4,5.1,1.9,2.66083,3.54451,4.72206,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,4,,P2,,2,5.3,1.4,3,4.8,1.2,4,4.1,1.6,2.56445,3.47055,4.52572,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,4,,P3,,2,4.6,1,3,3,0.7,4,2.6,0.7,2.39957,3.12528,4.02989,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,5,5,P1,,2,3.9,0.8,3,3.4,0.9,3,9.7,1.9,2.28071,3.23134,3.83166,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,5,,P2,,2,6.1,1.6,3,5.7,0.5,3,14.1,0.7,2.66652,3.33866,3.57608,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,5,,P3,,2,2.6,0.5,2,8,2,3,5.2,1,2.02379,2.83904,3.44422,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,6,6,P1,,2,2.5,0.6,2,9.3,2,3,6.6,1.4,2.00000,2.85481,3.62607,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,6,,P2,,2,2.5,0.6,2,9.1,2.2,3,7.6,1.4,2.00000,2.90996,3.65725,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,6,,P3,,2,5.6,1.2,3,3.7,1.1,4,2.8,0.5,2.52353,3.32319,4.06578,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,7,7,P1,,,,,,,,,,,,,,,,,,,,
1,7,,P2,,,,,,,,,,,,,,,,,,,,
1,7,,P3,,,,,,,,,,,,,,,,,,,,
