"","plot","HNO","DWTOTALLEAF","DWMSL","DWBL","TOTALSTEM","DWAP","DWGP","DWPOD","DWMP","WHOLE","Dlines","category","site","pdate","hdate","DAP","geno"
"1","1",5,8.228,5.261,2.967,3.361,NA,NA,NA,NA,11.589,0,1,1,2016-03-23,2016-05-03,41,"RIJC208"
"2","1",6,23.31,4.905,18.405,15.66,NA,NA,NA,NA,38.97,0,1,1,2016-03-23,2016-05-10,48,"RIJC208"
"3","1",7,26.675,4.785,21.89,18.02,NA,NA,0.104,NA,44.799,0,1,1,2016-03-23,2016-05-17,55,"RIJC208"
"4","1",8,21.422,4.702,16.72,16.47,NA,NA,1.445,NA,39.337,0,1,1,2016-03-23,2016-05-24,62,"RIJC208"
"5","1",10,38.41,NA,38.41,46.71,0.017,NA,20.592,NA,105.729,0,1,1,2016-03-23,2016-06-07,76,"RIJC208"
"6","1",11,45.65,NA,45.65,145.95,1.664,NA,NA,1.259,194.523,0,1,1,2016-03-23,2016-07-05,104,"RIJC208"
"7","10",3,0.976,0.976,NA,0.19,NA,NA,NA,NA,1.166,0,1,1,2016-03-23,2016-04-19,27,"RIJC368"
"8","10",4,4.3968,3.174,1.2228,1.3338,NA,NA,NA,NA,5.7306,0,1,1,2016-03-23,2016-04-26,34,"RIJC368"
"9","10",6,22.467,5.766,16.701,13.8795,NA,NA,1.348,NA,37.6945,0,1,1,2016-03-23,2016-05-10,48,"RIJC368"
"10","10",8,48.824,4.904,43.92,53.83,NA,NA,73.8,NA,176.454,0,1,1,2016-03-23,2016-05-24,62,"RIJC368"
"11","10",10,26.66,NA,26.66,36.08,6.21,NA,125.13,NA,194.08,0,1,1,2016-03-23,2016-06-07,76,"RIJC368"
"12","10",11,5.221,NA,5.221,29.618,1.658,0,NA,70.39,106.887,0,1,1,2016-03-23,2016-07-09,108,"RIJC368"
"13","100",1,0.139,0.139,NA,0.019,NA,NA,NA,NA,0.158,0,1,1,2016-03-23,2016-04-05,13,"RIJC005"
"14","100",2,2.204,1.857,0.347,0.703,0,NA,0,NA,2.907,0,1,1,2016-03-23,2016-04-12,20,"RIJC005"
"15","100",5,4.309,2.883,1.426,1.596,NA,NA,NA,NA,5.905,0,1,1,2016-03-23,2016-05-03,41,"RIJC005"
"16","100",6,7.693,3.085,4.608,3.655,NA,NA,NA,NA,11.348,0,1,1,2016-03-23,2016-05-10,48,"RIJC005"
"17","100",8,21.86,4.49,17.37,12.99,NA,NA,4.285,NA,39.135,0,1,1,2016-03-23,2016-05-24,62,"RIJC005"
"18","100",10,6.18,NA,6.18,6.63,0,NA,1.102,NA,13.912,0,1,1,2016-03-23,2016-06-07,76,"RIJC005"
"19","100",11,0,0,0,10.07,2.208,NA,0.306,0.589,13.173,0,1,1,2016-03-23,2016-07-11,110,"RIJC005"
"20","101",5,4.268,3.32,0.948,1.846,NA,NA,NA,NA,6.114,0,1,1,2016-03-23,2016-05-03,41,"RIJC344"
