,geno,slope,inter,r2,slope,inter,r2
3,CAL,0.232,-1.201,0.99888,0.319,-2.279,0.999999
8,JAM,0.289,-2.961,0.91264,0.250,-1.753,0.999594
16,RIJC001,0.273,-2.870,0.99331,0.370,-4.448,0.992990
17,RIJC002,0.332,-4.280,0.99898,0.333,-3.509,0.995142
18,RIJC003,0.230,-1.155,0.97940,0.167,0.928,0.513173
19,RIJC004,0.270,-2.788,0.99990,0.228,-1.361,0.999374
20,RIJC005,0.253,-2.308,0.98889,0.279,-2.027,0.999297
21,RIJC015,0.234,-1.938,0.99664,0.286,-2.296,0.999261
22,RIJC016,0.340,-4.010,0.99644,0.271,-2.346,0.987924
23,RIJC017,0.306,-3.575,0.98256,0.281,-2.584,0.937346
24,RIJC018,0.248,-2.053,0.99802,0.212,-0.617,0.999077
25,RIJC019,0.253,-3.227,0.98655,0.213,-2.152,0.999951
26,RIJC020,0.364,-3.067,0.99957,0.340,-1.698,0.997876
27,RIJC021,0.233,-2.129,0.99394,0.258,-1.445,0.996998
28,RIJC025,0.280,-2.714,0.99951,0.345,-3.705,0.978680
29,RIJC027,0.369,-4.429,0.99875,0.350,-2.797,0.986966
30,RIJC030,0.304,-3.465,0.99552,0.288,-2.327,0.999710
31,RIJC035,0.216,-0.925,0.92720,0.284,-1.825,0.990291
32,RIJC045,0.496,-7.052,0.97463,0.220,-1.553,0.999780
33,RIJC046,0.307,-3.087,0.99965,0.325,-3.000,0.999429
34,RIJC047,0.313,-3.414,0.97233,0.352,-3.550,0.999841
35,RIJC048,0.272,-2.553,0.99148,0.397,-4.114,0.990535
36,RIJC049,0.245,-2.076,0.96677,0.249,-1.949,0.996836
37,RIJC059,0.287,-2.266,0.98918,0.358,-2.826,0.999679
38,RIJC065,0.366,-3.475,0.99971,0.347,-2.853,0.998552
39,RIJC066,0.277,-2.823,0.99818,0.440,-5.341,0.994402
40,RIJC069,0.368,-3.578,0.99759,0.366,-3.342,0.971476
41,RIJC070,0.268,-2.561,0.99493,0.240,-1.723,0.998254
42,RIJC071,0.322,-3.626,0.99312,0.314,-3.019,0.983886
43,RIJC073,0.379,-3.981,0.99997,0.344,-2.693,0.999541
44,RIJC074,0.307,-2.908,0.98726,0.286,-2.637,0.992336
45,RIJC076,0.256,-2.721,0.99189,0.292,-2.697,0.992912
46,RIJC078,0.152,-0.189,0.95734,0.248,-0.756,0.978852
47,RIJC079,0.330,-3.755,0.99023,0.230,-1.460,0.999929
48,RIJC080,0.195,-1.017,0.99885,0.368,-3.447,0.990291
49,RIJC081,0.174,-1.040,0.93398,0.316,-2.901,0.996075
50,RIJC082,0.339,-3.841,0.99450,0.444,-4.758,0.990998
51,RIJC136,0.273,-2.282,0.99837,0.217,-0.752,0.993135
52,RIJC138,0.288,-2.739,1.00000,0.297,-2.673,0.990969
53,RIJC139,0.229,-1.410,0.98826,0.339,-2.712,0.997400
54,RIJC140,0.230,-1.991,0.95443,0.446,-5.805,0.951427
55,RIJC141,0.246,-2.270,0.98264,0.361,-3.444,0.996589
56,RIJC142,0.302,-3.242,0.99970,0.275,-1.911,0.993678
57,RIJC144,0.250,-2.275,0.97482,0.286,-2.562,0.998851
58,RIJC145,0.286,-2.699,0.99953,0.330,-2.895,0.992164
59,RIJC146,0.266,-2.537,0.99599,0.248,-1.429,0.995958
60,RIJC147,0.253,-2.403,0.99942,0.347,-3.619,0.941093
61,RIJC203,0.242,-1.902,0.99544,0.286,-2.185,0.989849
62,RIJC205,0.362,-3.849,0.99639,0.243,-0.979,1.000000
63,RIJC206,0.266,-2.322,0.99742,0.363,-3.673,0.983468
64,RIJC208,0.271,-2.467,0.99230,0.296,-2.446,0.995790
65,RIJC212,0.358,-3.769,0.99974,0.305,-2.256,0.987921
66,RIJC214,0.297,-2.702,0.98918,0.261,-1.663,0.994314
67,RIJC217,0.235,-1.761,0.98206,0.340,-3.393,0.966901
68,RIJC220,0.367,-3.226,0.99722,0.452,-4.185,0.992648
69,RIJC223,0.232,-1.256,0.98224,0.228,-0.429,0.978032
70,RIJC224,0.381,-3.979,0.99754,0.211,-0.626,0.996804
71,RIJC225,0.348,-3.761,0.99443,0.328,-3.289,0.987475
72,RIJC230,0.291,-3.088,0.99927,0.250,-1.394,0.993907
73,RIJC232,0.253,-2.431,0.99732,0.263,-1.793,0.999634
74,RIJC233,0.253,-1.996,1.00000,0.316,-2.088,0.990520
75,RIJC234,0.234,-2.147,0.99972,0.300,-2.766,0.999157
76,RIJC235,0.267,-2.796,0.99742,0.205,-1.351,0.990119
77,RIJC236,0.302,-3.070,0.99172,0.227,-1.802,0.999013
78,RIJC237,0.233,-2.260,0.99992,0.315,-3.080,0.964119
79,RIJC238,0.239,-2.196,0.99678,0.279,-1.443,0.962289
80,RIJC240,0.296,-3.331,0.97465,0.289,-2.503,0.993839
81,RIJC241,0.193,-1.159,0.96567,0.247,-1.916,0.961919
82,RIJC242,NA,NA,NA,0.305,-3.084,0.988284
83,RIJC243,0.338,-3.513,0.99918,0.329,-3.201,0.966523
84,RIJC244,0.259,-2.250,0.99040,0.303,-2.892,0.996505
85,RIJC247,0.177,-0.788,0.99384,0.241,-1.883,0.994667
86,RIJC248,0.325,-3.169,0.99826,0.321,-2.483,0.999930
87,RIJC250,0.189,-0.817,0.99696,0.191,0.071,0.999867
88,RIJC251,0.196,-1.604,0.99251,0.283,-2.582,0.980959
89,RIJC254,0.214,-1.866,0.99982,0.275,-1.574,0.996701
90,RIJC255,0.250,-1.765,0.98924,0.211,-0.534,0.973830
91,RIJC260,0.296,-2.916,0.98421,0.270,-1.948,0.982891
92,RIJC261,0.212,-1.539,0.97669,0.295,-2.574,0.992049
93,RIJC262,0.268,-2.300,0.98791,0.225,-1.477,0.953344
94,RIJC264,0.311,-2.790,0.98918,0.444,-4.606,0.967909
95,RIJC302,0.279,-2.916,0.94245,0.253,-1.089,0.963421
96,RIJC313,0.307,-3.159,0.96949,0.289,-1.737,0.996090
97,RIJC314,0.280,-3.175,0.99873,0.398,-3.975,0.979883
98,RIJC316,0.390,-4.053,0.99650,0.226,0.345,0.864067
99,RIJC319,0.359,-4.030,0.99815,0.444,-4.364,0.995222
100,RIJC324,0.260,-2.570,0.99801,0.285,-2.938,0.930625
101,RIJC326,0.316,-3.710,0.99779,0.350,-3.421,0.999938
102,RIJC327,0.204,-1.108,0.92756,0.256,-1.787,0.998109
103,RIJC330,0.331,-3.335,0.99999,0.315,-2.004,0.999858
104,RIJC331,0.318,-3.237,0.99285,0.374,-4.053,0.999990
105,RIJC334,0.365,-4.436,0.99992,0.348,-3.121,0.999036
106,RIJC335,0.093,1.152,0.73672,0.266,-1.817,0.992783
107,RIJC337,0.277,-2.622,0.99237,0.276,-2.038,0.999320
108,RIJC344,0.326,-3.814,0.99116,0.335,-3.437,0.990645
109,RIJC347,0.309,-2.827,0.99010,0.338,-3.060,0.998501
110,RIJC348,0.153,0.095,0.91222,0.219,-1.274,0.992965
111,RIJC352,0.259,-3.114,0.96709,0.384,-3.682,0.999944
112,RIJC355,0.227,-2.187,0.97339,0.207,-1.691,0.992826
113,RIJC361,0.262,-2.616,0.99207,0.212,-1.299,0.996814
114,RIJC363,0.245,-1.315,0.99997,0.303,-2.073,0.999650
115,RIJC364,NA,NA,NA,0.194,-1.180,0.963917
116,RIJC367,0.271,-2.564,0.98569,0.236,-0.999,0.997558
117,RIJC368,0.306,-3.105,0.98486,0.227,-1.814,0.992118
118,RIJC370,NA,NA,NA,0.202,-1.089,0.992048
135,RIJC372,0.258,-2.280,0.99988,0.235,-1.354,0.983498
140,RIJC373,0.374,-4.670,0.98542,0.335,-3.049,0.999174
148,RIJC374,0.294,-3.464,0.98926,0.289,-1.925,0.988731
