"","plot","rep","PI","DAP","site","geno"
"1","1","P1",4.212233939,25,1,"RIJC208"
"2","1","P2",4.07748392,25,1,"RIJC208"
"3","1","P3",4.803884932,25,1,"RIJC208"
"4","10","P1",4.397112105,25,1,"RIJC368"
"5","10","P2",3.633694106,25,1,"RIJC368"
"6","10","P3",4.710563987,25,1,"RIJC368"
"7","100","P1",3.018162074,25,1,"RIJC005"
"8","100","P2",3.792446417,25,1,"RIJC005"
"9","100","P3",3.487233598,25,1,"RIJC005"
"10","101","P1",3.942474545,25,1,"RIJC344"
"11","101","P2",3.882001216,25,1,"RIJC344"
"12","101","P3",3.604071324,25,1,"RIJC344"
"13","102","P1",4.387224756,25,1,"JAM"
"14","102","P2",4.165956233,25,1,"JAM"
"15","102","P3",3.830585045,25,1,"JAM"
"16","103","P1",3.307523319,25,1,"RIJC261"
"17","103","P2",3.479190061,25,1,"RIJC261"
"18","103","P3",3.181449866,25,1,"RIJC261"
"19","104","P1",3.177265371,25,1,"RIJC302"
"20","104","P2",4.063269761,25,1,"RIJC302"
"21","104","P3",3.840465534,25,1,"RIJC302"
"22","105","P1",4.251259089,25,1,"RIJC001"
"23","105","P2",2.524056478,25,1,"RIJC001"
"24","105","P3",3.566207283,25,1,"RIJC001"
"25","106","P1",3.868399683,25,1,"RIJC361"
"26","106","P2",4.32387287,25,1,"RIJC361"
"27","106","P3",4.092109998,25,1,"RIJC361"
"28","107","P1",6.08172872,25,1,"RIJC334"
"29","107","P2",4.611577877,25,1,"RIJC334"
"30","107","P3",4.583820638,25,1,"RIJC334"
"31","108","P1",3.748955984,25,1,"RIJC214"
"32","108","P2",4.823873102,25,1,"RIJC214"
"33","108","P3",5.144556613,25,1,"RIJC214"
"34","109","P1",2.770653798,25,1,"RIJC238"
"35","109","P2",2.065421202,25,1,"RIJC238"
"36","109","P3",1.637716558,25,1,"RIJC238"
"37","11","P1",4.686513265,25,1,"TM2"
"38","11","P2",4.916662858,25,1,"TM2"
"39","11","P3",4.660830402,25,1,"TM2"
"40","110","P1",2.450568457,25,1,"RIJC352"
"41","110","P2",2.115781427,25,1,"RIJC352"
"42","110","P3",2.533467494,25,1,"RIJC352"
"43","111","P1",3.291719581,25,1,"RIJC314"
"44","111","P2",2.803758249,25,1,"RIJC314"
"45","111","P3",2.779772069,25,1,"RIJC314"
"46","112","P1",3.326740252,25,1,"RIJC235"
"47","112","P2",4.339734125,25,1,"RIJC235"
"48","112","P3",3.789281469,25,1,"RIJC235"
"49","113","P1",2.635729776,25,1,"RIJC076"
"50","113","P2",2.408973898,25,1,"RIJC076"
"51","113","P3",3.453784181,25,1,"RIJC076"
"52","114","P1",2.971975911,25,1,"RIJC241"
"53","114","P2",3.242436403,25,1,"RIJC241"
"54","114","P3",3.130987545,25,1,"RIJC241"
"55","115","P1",2.771604798,25,1,"RIJC244"
"56","115","P2",3.040303393,25,1,"RIJC244"
"57","115","P3",3.203511197,25,1,"RIJC244"
"58","116","P1",2.970329037,25,1,"TM7"
"59","116","P2",2.620478677,25,1,"TM7"
"60","116","P3",2.758119147,25,1,"TM7"
"61","117","P1",4.315088722,25,1,"RIJC035"
"62","117","P2",4.688382337,25,1,"RIJC035"
"63","117","P3",4.588801204,25,1,"RIJC035"
"64","118","P1",3.900979909,25,1,"RIJC030"
"65","118","P2",4.190128141,25,1,"RIJC030"
"66","118","P3",4.572428065,25,1,"RIJC030"
"67","119","P1",3.742465889,25,1,"RIJC021"
"68","119","P2",3.945762225,25,1,"RIJC021"
"69","119","P3",3.477461081,25,1,"RIJC021"
"70","12","P1",3.453784181,25,1,"RIJC025"
"71","12","P2",4.194606128,25,1,"RIJC025"
"72","12","P3",5.115245961,25,1,"RIJC025"
"73","120","P1",4.299650121,25,1,"RIJC144"
"74","120","P2",4.218023304,25,1,"RIJC144"
"75","120","P3",4.252711297,25,1,"RIJC144"
"76","121","P1",6.033275821,25,1,"RIJC205"
"77","121","P2",5.207618043,25,1,"RIJC205"
"78","121","P3",5.036970261,25,1,"RIJC205"
"79","122","P1",4.207618043,25,1,"RIJC313"
"80","122","P2",4.68457166,25,1,"RIJC313"
"81","122","P3",4.099850827,25,1,"RIJC313"
"82","123","P1",4.094904641,25,1,"RIJC141"
"83","123","P2",3.941644415,25,1,"RIJC141"
"84","123","P3",3.275914266,25,1,"RIJC141"
"85","124","P1",5.11006852,25,1,"RIJC368"
"86","124","P2",4.02095345,25,1,"RIJC368"
"87","124","P3",4.955448644,25,1,"RIJC368"
"88","125","P1",NA,NA,1,"RIJC370"
"89","125","P2",NA,NA,1,"RIJC370"
"90","125","P3",NA,NA,1,"RIJC370"
"91","126","P1",3.885212273,25,1,"JAM"
"92","126","P2",4.479190061,25,1,"JAM"
"93","126","P3",2.544513645,25,1,"JAM"
"94","127","P1",4.491979597,25,1,"RIJC046"
"95","127","P2",4.643757747,25,1,"RIJC046"
"96","127","P3",4.678457724,25,1,"RIJC046"
"97","128","P1",3.804965613,25,1,"RIJC066"
"98","128","P2",4.251685069,25,1,"RIJC066"
"99","128","P3",5.041046827,25,1,"RIJC066"
"100","129","P1",3.583820638,25,1,"RIJC234"
"101","129","P2",4.364066141,25,1,"RIJC234"
"102","129","P3",3.52072924,25,1,"RIJC234"
"103","13","P1",5.126654278,25,1,"RIJC220"
"104","13","P2",5.099850827,25,1,"RIJC220"
"105","13","P3",6.045131191,25,1,"RIJC220"
"106","130","P1",NA,NA,1,"RIJC364"
"107","130","P2",NA,NA,1,"RIJC364"
"108","130","P3",NA,NA,1,"RIJC364"
"109","131","P1",4.741031822,25,1,"RIJC027"
"110","131","P2",4.588602504,25,1,"RIJC027"
