"","geno","site","slope","inter","r2"
"3","CAL",1,0.232214507194444,-1.20129991719444,0.998883451494458
"135","CAL",2,0.319493965231619,-2.27885363184277,0.999998894468945
"8","JAM",1,0.289051533677162,-2.96083448142884,0.912638846780888
"141","JAM",2,0.249714883785705,-1.75314398168846,0.999593595548702
"22","RIJC016",1,0.340414982638889,-4.00979285816666,0.996440139351545
"155","RIJC016",2,0.271187063853279,-2.3458027686276,0.987924193747584
"64","RIJC208",1,0.271163643777778,-2.46685634622222,0.992298248696362
"197","RIJC208",2,0.296106334571038,-2.44633510795902,0.995789641313258
"67","RIJC217",1,0.234685830638889,-1.76088152926388,0.982063660781192
"200","RIJC217",2,0.339828366259563,-3.39319805742076,0.966901160684471
"69","RIJC223",1,0.232216833583333,-1.25612076345833,0.982238018290706
"202","RIJC223",2,0.227642673719945,-0.42943424759426,0.978032044786259
