site,Plot ID,Plot ID_input,Plant ID,Plant No. in plot,Leaf No. (n),"Leaf Length, L(n), >2.5cm","L(n+1), <2.5cm",Leaf No. (n),"Leaf Length, L(n), >2.5cm","L(n+1), <2.5cm",Leaf No. (n),"Leaf Length, L(n), >2.5cm","L(n+1), <2.5cm",PIT1,PIT2,PIT3,Planting Date,T1 Date,T2Date,T3Date,T1 (DAP),T2(DAP),T3(DAP)
1,1,1,P1,,2,4.5,0.9,3,3.4,0.9,4,3.2,1,2.365212389,3.231341798,4.212233939,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,1,1,P2,,2,5.5,1.1,3,4.4,1.1,4,2.7,1,2.489896102,3.407787714,4.07748392,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,1,1,P3,,2,6.3,1.8,3,8.3,2.1,4,7.7,1.9,2.737776359,3.873134627,4.803884932,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,2,2,P1,,3,4.5,1,4,4.8,0.4,4,11.7,0.6,3.390795491,4.262514967,4.519556489,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,2,2,P2,,3,3.7,1.6,4,3.2,0.4,4,10,1.1,3.467646949,4.118714603,4.628056955,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,2,2,P3,,2,5.3,1.9,3,6.8,2,4,6.3,0.9,2.732479348,3.817659723,4.474975117,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,3,3,P1,,2,3.2,1,3,3.8,1.3,4,4.5,1.4,2.212233939,3.390356115,4.503412185,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,3,3,P2,,3,3,0.9,4,2.7,0.7,4,8.3,2.1,3.151433285,4.057011273,4.873134627,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,3,3,P3,,2,6.9,1.6,3,5.4,1.3,4,4.2,1.5,2.694641346,3.540793162,4.503869473,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,4,4,P1,,2,5.3,1.7,3,5,1.4,4,5.1,1.9,2.660830402,3.544513645,4.722057368,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,4,,P2,,2,5.3,1.4,3,4.8,1.2,4,4.1,1.6,2.564450547,3.470553155,4.525722633,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,4,,P3,,2,4.6,1,3,3,0.7,4,2.6,0.7,2.399569511,3.12528218,4.02988959,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,5,5,P1,,2,3.9,0.8,3,3.4,0.9,3,9.7,1.9,2.280714713,3.231341798,3.831661928,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,5,,P2,,2,6.1,1.6,3,5.7,0.5,3,14.1,0.7,2.666523158,3.338663264,3.576080795,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,5,,P3,,2,2.6,0.5,2,8,2,3,5.2,1,2.023789469,2.839035953,3.44422046,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,6,6,P1,,2,2.5,0.6,2,9.3,2,3,6.6,1.4,2,2.854806226,3.626067675,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,6,,P2,,2,2.5,0.6,2,9.1,2.2,3,7.6,1.4,2,2.909964899,3.657252044,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,6,,P3,,2,5.6,1.2,3,3.7,1.1,4,2.8,0.5,2.523534332,3.32319437,4.065782959,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,7,7,P1,,,,,,,,,,,,,,,,,,,,
1,7,,P2,,,,,,,,,,,,,,,,,,,,
1,7,,P3,,,,,,,,,,,,,,,,,,,,
1,8,8,P1,,3,4,1.5,4,4.5,1,4,12.1,1.2,3.479190061,4.390795491,4.682385958,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,8,,P2,,2,8,2.3,3,6.7,1.8,4,4.5,0.5,2.933109153,3.750057937,4.26751324,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,8,,P3,,3,3.5,1,4,4,0.4,4,10.5,0.8,3.268584118,4.204119983,4.557418544,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,9,9,P1,,3,3.2,0.9,4,3.7,1,5,3.2,1.1,3.194606128,4.299650121,5.231176892,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,9,,P2,,2,4.6,1.2,3,4.6,1,4,3.2,1.2,2.453784181,3.399569511,4.251685069,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,9,,P3,,2,6.7,1.6,3,5.6,1.8,4,6.2,1.6,2.688369605,3.710563987,4.670526351,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,10,10,P1,,2,3.8,1.2,3,4.4,1.1,4,3.5,1.5,2.363249569,3.407787714,4.397112105,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,10,,P2,,2,4.9,1.4,3,4.6,0.7,3,12.2,1,2.537168235,3.32387287,3.633694106,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,10,,P3,,2,4,1.4,3,4.6,1.5,4,5.6,1.8,2.447698346,3.544146317,4.710563987,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,11,11,P1,,2,9,2.4,4,2.6,1,4,8.9,1.4,2.969115329,4.041046827,4.686513265,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,11,,P2,,3,2.9,0.8,4,3.1,1.2,4,10.2,2.2,3.115245961,4.226652394,4.916662858,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,11,,P3,,2,10.9,2,3,8,2,4,5.3,1.7,2.868399683,3.839035953,4.660830402,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,12,12,P1,,2,3.4,0.7,2,8.5,1.9,3,4.6,1.2,2.194555112,2.816823791,3.453784181,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,12,,P2,,2,3.7,0.8,3,2.9,1.1,4,3.2,0.9,2.255989642,3.153104931,4.194606128,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,12,,P3,,2,6.6,2,4,2.9,1.4,5,2.9,0.8,2.813100467,4.203806864,5.115245961,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,13,13,P1,,3,3.2,0.9,4,2.7,1,5,3.4,0.3,3.194606128,4.07748392,5.126654278,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,13,,P2,,3,5.4,1.6,4,2.6,1.6,5,2.8,0.9,3.633106858,4.080782867,5.099850827,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,13,,P3,,3,4.6,1.3,4,6,2.1,5,6.2,2.6,3.482527034,4.83392102,6.045131191,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,14,14,P1,,3,3.1,0.8,4,3.2,1.1,5,3.2,1.1,3.158807034,4.231176892,5.231176892,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,14,,P2,,3,3.8,0.9,4,4.3,1.5,5,4.4,1.4,3.290698072,4.514954503,5.493666808,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,14,,P3,,3,2.9,1,4,3.1,1.7,5,3.4,0.9,3.139399369,4.358057156,5.231341798,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,15,15,P1,,2,6,1.8,3,7.4,2.3,4,6.4,1.3,2.727149927,3.928646511,4.589740491,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,15,,P2,,2,3.2,0.8,3,3.9,1.4,4,2.8,1.3,2.178071905,3.434049729,4.147706646,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,15,,P3,,2,2.4,0.6,3,3.3,1.1,4,2.9,0.8,1.970553155,3.252711297,4.115245961,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,16,16,P1,,2,5.6,0.5,3,2.5,0.4,3,7.4,0.3,2.333818149,3,3.338544766,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
1,16,,P2,,2,9.3,2.4,3,7.4,2.3,4,7.8,1.5,2.969862962,3.928646511,4.690156825,3/23/2016,4/11/2016,4/14/2016,4/17/2016,19,22,25
