,plot,site,PNUM,SDDW10,SDDWprimary,SDDWadjusted,SDDW,SDDWPLANT,X100SD,geno,TM.geno
270,D14,1,10,10.33,304.39,NA,314.72,31.472,16.5,AC compass,
271,D14,1,10,10.33,304.39,NA,314.72,31.472,NA,AC compass,
272,D14,1,5,9.04,168.83,NA,177.87,35.574,16.5,AC compass,
273,D14,1,5,9.04,168.83,NA,177.87,35.574,NA,AC compass,
274,D14,1,15,19.37,473.22,NA,19.37,1.291333333,16.5,AC compass,
275,D14,1,15,19.37,473.22,NA,19.37,1.291333333,NA,AC compass,
288,D28,1,10,9.139,226.63,NA,235.769,23.5769,17.51,AC compass,
283,D23,1,10,11.95,303.44,NA,315.39,31.539,21.53,Avalanche,
301,D5,1,10,11.89,322.85,NA,334.74,33.474,20.66,Avalanche,
310,D68,2,10,NA,0.8,NA,0.8,0.08,NA,Avalanche,
47,142,1,10,15.149,195.23,NA,210.379,21.0379,48.94,CAL,
61,159,1,10,12.63,244.89,NA,257.52,25.752,47.06,CAL,
229,65,1,10,28.934,127.61,NA,156.544,15.6544,51.16,CAL,
247,81,1,10,NA,245.88,NA,245.88,24.588,54.1,CAL,
269,D13,1,10,14.636,399.58,NA,414.216,41.4216,38.84,CDCWM2,
285,D26,1,10,14.7,180.68,NA,195.38,19.538,31.67,CDCWM2,
313,D70,2,3,3.07,NA,NA,3.07,1.023333333,NA,CDCWM2,
286,D27,1,10,11.11,583.51,NA,594.62,59.462,20.69,Centa Pupil,
287,D27,1,8,11.69,NA,NA,11.69,1.46125,20.69,Centa Pupil,
300,D45,2,10,2.63,NA,NA,2.63,0.263,NA,Centa Pupil,
316,D78,2,10,NA,NA,NA,NA,NA,NA,Centa Pupil,
318,D8,1,10,12.44,695.98,NA,708.42,70.842,20.8,Centa Pupil,
319,D8,1,10,12.44,695.98,NA,708.42,70.842,20.8,Centa Pupil,
320,D8,1,10,10.876,695.98,NA,706.856,70.6856,20.8,Centa Pupil,
321,D8,1,10,10.876,695.98,NA,706.856,70.6856,20.8,Centa Pupil,
280,D19,1,10,10.603,284.09,NA,294.693,29.4693,19.61,Envoy,
294,D35,1,10,9.49,368.17,NA,377.66,37.766,21.34,Envoy,
292,D33,1,10,12.9,"472.27,354.10",NA,12.9,NA,22.53,Expresso,
305,D55,2,5,NA,NA,NA,NA,NA,NA,Expresso,
312,D7,1,10,12.061,370.25,NA,382.311,38.2311,22.5,Expresso,
314,D73,2,NA,3.27,NA,NA,3.27,NA,NA,Expresso,
5,102,1,10,14.1,381.36,NA,395.46,39.546,19.69,JAM,
30,126,1,10,12.844,417.09,NA,429.934,42.9934,21.25,JAM,
111,205,1,10,13.69,265.64,NA,279.33,27.933,19.67,JAM,
150,24,1,10,10.903,210.02,NA,220.923,22.0923,19.2,JAM,
177,346,2,10,NA,1.19,NA,1.19,0.119,NA,JAM,
179,354,2,10,3.24,0.96,NA,4.2,0.42,NA,JAM,
198,446,2,8,5.72,14.52,NA,20.24,2.53,14,JAM,
209,476,2,2,NA,NA,NA,NA,NA,NA,JAM,
278,D17,1,10,4.409,154.4,NA,158.809,15.8809,17.9,Lightning,
284,D25,1,10,9.106,296.29,NA,305.396,30.5396,18.09,Lightning,
308,D60,2,10,2.51,1.27,NA,3.78,0.378,NA,Lightning,
315,D77,2,7,3.62,1.05,NA,4.67,0.667142857,NA,Lightning,
279,D18,1,10,10.043,180.7,NA,190.743,19.0743,19.14,Nautica,
282,D21,1,10,5.04,382.35,NA,387.39,38.739,19.2,Nautica,
299,D41,2,7,NA,NA,NA,NA,NA,NA,Nautica,
281,D2,1,10,9.327,153.39,NA,162.717,16.2717,16.94,Navigator,
290,D31,1,10,9.78,186.79,NA,196.57,19.657,16.26,Navigator,
306,D58,2,10,4.14,13.92,NA,18.06,1.806,14.2,Navigator,
311,D69,2,NA,NA,NA,NA,NA,NA,NA,Navigator,
267,D1,1,10,6.42,116.55,NA,122.97,12.297,14.14,OACRex,
291,D32,1,10,9.15,199.23,NA,208.38,20.838,15.29,OACRex,
