HNO,plot,DWTOTALLEAF,DWMSL,DWBL,TOTALSTEM,DWAP,DWGP,DWPOD,DWMP,WHOLE
11,1,,,45.65,145.95,1.664,,,1.259,
10,1,,,38.41,46.71,0.017,,20.592,,
5,1,,5.261,2.967,3.361,,,,,
6,1,,4.905,18.405,15.66,,,,,
7,1,,4.785,21.89,18.02,,,0.104,,
8,1,,4.702,16.72,16.47,,,1.445,,
11,2,,,.,31.541,2.204,0,,40.66,
1,2,,0.1773,,0.0278,,,,,
10,2,,,12.19,20.28,0.709,,17.176,,
2,2,,0.3475,0.001,0.0645,,,,,
3,2,,1.242,0.485,0.355,,,,,
4,2,,3.0532,1.4069,1.4199,,,,,
5,2,,2.451,5.181,3.958,,,,,
6,2,,5.711,13.299,12.394,,,0.066,,
7,2,,2.75,16.68,15.94,,,1.45,,
8,2,,3.722,20.095,25.722,,,3.945,,
11,3,,,0.437,41.89,3.646,0,,17.703,
1,3,,,,0.012,,,,,
1,3,,0.0823,,,,,,,
10,3,,0,43.41,51.09,0.067,,25.42,,
2,3,,0.4292,0.0053,0.0699,,,,,
3,3,,1.216,0.2,0.228,,,,,
4,3,,1.8868,0.4356,0.478,,,,,
5,3,,3.316,5.225,3.316,,,,,
6,3,,4.274,11.816,7.671,,,,,
7,3,,3.114,14.36,8.16,,,,,
8,3,,3.26,9.39,10.72,,,0.939,,
9,3,,,44.13,42.6,0.434,,10.012,,
11,4,,,3.381,74.8,10.071,0,,16.938,
1,4,,0.0201,,,,,,,
1,4,,,,0.0043,,,,,
2,4,,0.5002,,0.0819,,,,,
3,4,,1.121,0.046,0.242,,,,,
5,4,,4.697,3.403,4.086,,,,,
6,4,,4.937,13.954,9.462,,,,,
7,4,,4.419,41.24,25.77,,,0.494,,
8,4,,5.463,23.31,32.9,,,1.563,,
11,5,,,1.309,51.24,8.073,0,,2.596,
10,5,,,14.99,25.43,0,,10.237,,
3,5,,0.613,*,0.104,,,,,
5,5,,3.112,3.119,1.893,,,,,
6,5,,2.955,9.72,5.05,,,,,
7,5,,4.543,22.54,14.81,,,1.586,,
8,5,,2.928,29.32,18.85,,,5.595,,
9,5,,,44.53,41.62,0,,21.839,,
11,6,,,5.53,36.52,1.023,1.196,,21.852,
1,6,,0.1191,,,,,,,
1,6,,,,0.0138,,,,,
10,6,,,50.56,54.83,0,,,49.73,
2,6,,0.3567,*,0.0624,,,,,
3,6,,2.663,0.297,0.759,,,,,
5,6,,3.539,11.224,7.224,,,,,
6,6,,8.672,14.5,11.37,,,,,
7,6,,9.837,26.75,21.52,,,4.513,,
8,6,,5.191,28.34,28.21,,,10.287,,
9,6,,,29.12,34.02,0.767,,11.556,,
11,7,,,10.71,92.8,5.1,0,,2.95,
10,7,,,34.36,57.55,,0.967,15.85,,
9,7,,,35.66,44.83,,,5.484,,
11,8,,,7.314,36.196,14.482,0,,34.298,
10,8,,,17.12,28.41,0.9437,,32.479,,
3,8,,0.866,0.255,0.227,,,,,
5,8,,3.779,4.085,4.055,,,,,
7,8,,3.165,13.4,14.93,,,3.529,,
9,8,,,21.37,29.73,2.755,,14.052,,
11,9,,,4.77,50.44,3.321,0.16,10.193,,
1,9,,0.1584,,,,,,,
1,9,,,,0.0338,,,,,
10,9,,,18.5,46.43,0,,,110.41,
2,9,,0.6941,,0.1263,,,,,
3,9,,1.671,0.13,0.44,,,,,
4,9,,2.2626,1.2914,1.6757,,,,,
5,9,,4.179,3.381,3.368,,,,,
6,9,,8.525,12,11.646,,,0.36,,
7,9,,4.186,28.8,31.82,,,15.86,,
8,9,,3.441,11.96,22.14,,,5.345,,
8,9,,2.47,35.53,37.87,,,30.72,,
9,9,,,23.06,29.83,0.843,,6.102,,
11,10,,,5.221,29.618,1.658,0,,70.39,
10,10,,,26.66,36.08,6.21,,125.13,,
3,10,,0.976,*,0.19,,,,,
4,10,,3.174,1.2228,1.3338,,,,,
6,10,,3.933,10.002,9.348,,,0.133,,
6,10,,7.599,23.4,18.411,,,2.563,,
8,10,,4.904,43.92,53.83,,,73.8,,
11,11,,,3.111,14.062,0.56,0,,77.87,
11,11,,,0.187,17.12,7.622,0.063,,68.63,
1,11,,0.4081,,0.0634,,,,,
10,11,,,10.96,15.52,0.526,,103,,
2,11,,1.0889,0.0209,0.1793,,,,,
3,11,,2.825,0.476,0.94,,,,,
4,11,,4.686,2.835,3.0524,,,,,
5,11,,2.587,8.444,7.835,,,0.134,,
6,11,,6.413,20.26,16.26,,1.655,,,
7,11,,4.167,31.92,29,,,,,
7,11,,,,,,,,56.37,
8,11,,3.91,18.285,17.019,,,40.92,,
9,11,,,12,11.16,0.051,,67.19,,
11,12,,,0.445,24.13,1.737,0,,20.623,
3,12,,0.895,*,0.121,,,,,
5,12,,4.602,3.384,2.842,,,,,
6,12,,4.458,7.28,4.48,,,,,
7,12,,3.427,10.1,8.69,,,0.592,,
8,12,,2.952,12.21,13.28,,,1.998,,
9,12,,,25.57,19.13,0.676,,11.171,,
11,13,,,0.189,27.211,5.05,,47.09,,
1,13,,0.1367,,,,,,,
1,13,,,,0.0199,,,,,
10,13,,,11.68,20.85,0,,,36.34,
