"","plot","HNO","DWTOTALLEAF","DWMSL","DWLBR","DWTOTALSTEM","DWAP","DWGP","DWMP","DWPOD","WHOLE","geno","DAP","site"
"1","1",7,26.675,4.785,21.89,18.02,NA,NA,NA,0.104,44.799,"RIJC208",55,1
"2","1",8,21.422,4.702,16.72,16.47,NA,NA,NA,1.445,39.337,"RIJC208",62,1
"3","1",11,45.65,NA,45.65,145.95,1.664,NA,1.259,2.923,194.523,"RIJC208",104,1
"4","1",5,8.228,5.261,2.967,3.361,NA,NA,NA,0,11.589,"RIJC208",41,1
"5","1",10,38.41,NA,38.41,46.71,0.017,NA,NA,20.609,105.729,"RIJC208",76,1
"6","1",6,23.31,4.905,18.405,15.66,NA,NA,NA,0,38.97,"RIJC208",48,1
"7","10",8,48.824,4.904,43.92,53.83,NA,NA,NA,73.8,176.454,"RIJC368",62,1
"8","10",11,5.221,NA,5.221,29.618,1.658,NA,70.39,72.048,106.887,"RIJC368",108,1
"9","10",4,4.3968,3.174,1.2228,1.3338,NA,NA,NA,0,5.7306,"RIJC368",34,1
"10","10",10,26.66,NA,26.66,36.08,6.21,NA,NA,131.34,194.08,"RIJC368",76,1
"11","10",3,0.976,0.976,NA,0.19,NA,NA,NA,0,1.166,"RIJC368",27,1
"12","10",6,22.467,5.766,16.701,13.8795,NA,NA,NA,1.348,37.6945,"RIJC368",48,1
"13","100",1,0.139,0.139,NA,0.019,NA,NA,NA,0,0.158,"RIJC005",13,1
"14","100",2,2.204,1.857,0.347,0.703,NA,NA,NA,0,2.907,"RIJC005",20,1
"15","100",5,4.309,2.883,1.426,1.596,NA,NA,NA,0,5.905,"RIJC005",41,1
"16","100",6,7.693,3.085,4.608,3.655,NA,NA,NA,0,11.348,"RIJC005",48,1
"17","100",8,21.86,4.49,17.37,12.99,NA,NA,NA,4.285,39.135,"RIJC005",62,1
"18","100",10,6.18,NA,6.18,6.63,NA,NA,NA,1.102,13.912,"RIJC005",76,1
"19","100",11,0,NA,NA,10.07,2.208,NA,0.589,3.103,13.173,"RIJC005",110,1
"20","101",10,9.6,NA,9.6,19.4,0.01,NA,NA,1,30,"RIJC344",76,1
"21","101",9,17.19,NA,17.19,18.08,NA,NA,NA,1.15,36.42,"RIJC344",69,1
"22","101",8,32.432,5.732,26.7,23.41,NA,NA,NA,0.756,56.598,"RIJC344",62,1
"23","101",5,4.268,3.32,0.948,1.846,NA,NA,NA,0,6.114,"RIJC344",41,1
"24","101",11,2.77,NA,2.77,66.58,6.38,0.348,NA,66.748,136.098,"RIJC344",111,1
"25","102",1,0.0716,0.0716,NA,0.0189,NA,NA,NA,0,0.0905,"JAM",13,1
"26","102",2,0.4351,0.4351,NA,0.0659,NA,NA,NA,0,0.501,"JAM",20,1
"27","102",3,1.771,1.729,0.042,0.347,NA,NA,NA,0,2.118,"JAM",27,1
"28","102",4,3.579,2.934,0.645,1.05,NA,NA,NA,0,4.629,"JAM",34,1
"29","102",5,11.623,6.346,5.277,4.701,NA,NA,NA,0,16.324,"JAM",41,1
"30","102",6,22.985,8.359,14.626,12.59,NA,NA,NA,0.194,35.769,"JAM",48,1
"31","102",8,22.892,8.106,14.786,14.569,NA,NA,NA,3.456,40.917,"JAM",62,1
"32","102",9,34.57,NA,34.57,37.68,0.859,NA,NA,19.274,91.524,"JAM",69,1
"33","102",10,25.17,NA,25.17,30.5,1.503,NA,NA,57.483,113.153,"JAM",76,1
"34","102",11,3.87,NA,3.87,30.01,1.98,0.02,93.96,95.96,129.84,"JAM",92,1
"35","103",1,0.0861,0.0861,NA,0.0187,NA,NA,NA,0,0.1048,"RIJC261",13,1
"36","103",11,0,NA,NA,1.905,NA,NA,3.508,3.508,5.413,"RIJC261",104,1
"37","104",11,0,NA,NA,4.108,1.697,NA,8.488,10.185,14.293,"RIJC302",99,1
"38","105",3,0.567,0.567,NA,0.151,NA,NA,NA,0,0.718,"RIJC001",27,1
"39","105",1,0.0853,0.0853,NA,0.0177,NA,NA,NA,0,0.103,"RIJC001",13,1
"40","105",2,0.2968,0.2968,NA,0.0835,NA,NA,NA,0,0.3803,"RIJC001",20,1
"41","105",5,1.671,1.632,0.039,0.734,NA,NA,NA,0,2.405,"RIJC001",41,1
"42","105",7,6.675,4.585,2.09,4.46,NA,NA,NA,0,11.135,"RIJC001",55,1
"43","105",8,7.4,3.72,3.68,5.75,NA,NA,NA,6.75,19.9,"RIJC001",62,1
"44","105",10,0,NA,NA,10.08,NA,NA,NA,0.05411,10.13411,"RIJC001",76,1
"45","105",11,8.951,NA,8.951,51.16,3.209,NA,12.333,15.542,75.653,"RIJC001",108,1
"46","106",6,11.528,4.172,7.356,1.37,NA,NA,NA,0,12.898,"RIJC361",48,1
"47","106",7,11.747,4.837,6.91,7.17,NA,NA,NA,0.104,19.021,"RIJC361",55,1
"48","106",9,29.8,NA,29.8,40.43,0.413,NA,NA,3.538,73.768,"RIJC361",69,1
"49","106",8,9.298,2.438,6.86,9.31,NA,NA,NA,0.282,18.89,"RIJC361",62,1
"50","106",1,0.1274,0.1274,NA,0.0278,NA,NA,NA,0,0.1552,"RIJC361",13,1
"51","106",11,2.016,NA,2.016,31.5,1.313,NA,12.714,14.027,47.543,"RIJC361",110,1
"52","106",5,4.995,3.504,1.491,1.965,NA,NA,NA,0,6.96,"RIJC361",41,1
"53","107",1,0.1939,0.1939,NA,0.0268,NA,NA,NA,0,0.2207,"RIJC334",13,1
"54","107",2,0.6867,0.6839,0.0028,0.1074,NA,NA,NA,0,0.7941,"RIJC334",20,1
"55","107",3,1.033,0.96,0.073,0.234,NA,NA,NA,0,1.267,"RIJC334",27,1
"56","107",4,4.513,3.103,1.41,1.681,NA,NA,NA,0,6.194,"RIJC334",34,1
"57","107",5,4.84,3.51,1.33,2.162,NA,NA,NA,0,7.002,"RIJC334",41,1
"58","107",6,6.32,3.77,2.55,3.65,NA,NA,NA,0,9.97,"RIJC334",48,1
"59","107",7,6.225,3.045,3.18,3.53,NA,NA,NA,0,9.755,"RIJC334",55,1
