,plot,slope,inter,sd,rep,site,r2,RIL
1,1,0.307836925,-3.502816308,0.924104806,P1,1,0.998714778,RIJC208
2,1,0.26459797,-2.496099421,0.797020817,P2,1,0.991918967,RIJC208
3,1,0.344351429,-3.770799462,1.034741446,P3,1,0.996741632,RIJC208
4,10,0.377144274,-4.729704467,1.1316131,P3,1,0.999681402,RIJC368
5,10,0.338977089,-4.068112836,1.017056169,P1,1,0.999754403,RIJC368
6,10,0.182754312,-0.855683123,0.56528199,P2,1,0.940692057,RIJC368
7,100,0.223414241,-2.088222411,0.562660698,P3,1,0.998529477,RIJC005
8,100,0.256085536,-2.565446727,0.651642197,P2,1,0.978101779,RIJC005
9,100,0.175752127,-1.347402597,0.446561134,P1,1,0.981006043,RIJC005
10,101,0.294549784,-3.497708337,0.742083546,P2,1,0.997801517,RIJC344
11,101,0.296234403,-3.710957989,0.771342419,P3,1,0.934133406,RIJC344
12,101,0.294875534,-3.439955079,0.742442695,P1,1,0.999042465,RIJC344
13,102,0.330258873,-3.818027485,0.838596371,P1,1,0.98228017,JAM
14,102,0.317070269,-3.736541998,0.799692296,P2,1,0.995629057,JAM
15,102,0.269620236,-2.860526068,0.687016296,P3,1,0.975446017,JAM
16,103,0.210615745,-2.053766987,0.534102811,P3,1,0.984836847,RIJC261
17,103,0.24042946,-2.695972347,0.605273301,P1,1,0.99932022,RIJC261
18,103,0.214188956,-1.822868056,0.551115924,P2,1,0.956622466,RIJC261
19,104,0.288462006,-3.302912833,0.740995179,P3,1,0.959795742,RIJC302
20,104,0.303604541,-3.438291643,0.788052384,P2,1,0.940023472,RIJC302
21,104,0.205547636,-1.941169898,0.519163889,P1,1,0.992769362,RIJC302
22,105,0.214005678,-2.754386691,0.56078081,P2,1,0.922351908,RIJC001
23,105,0.221137201,-1.91637301,0.565416631,P3,1,0.968765816,RIJC001
24,105,0.293354033,-3.073158039,0.738544371,P1,1,0.999224994,RIJC001
25,106,0.271170004,-2.876838608,0.686443661,P1,1,0.988338797,RIJC361
26,106,0.327252274,-3.814842478,0.828781632,P2,1,0.987455329,RIJC361
27,106,0.28908636,-3.064848369,0.743431996,P3,1,0.957646116,RIJC361
28,107,0.319112277,-3.351018442,0.808523161,P3,1,0.986584847,RIJC334
29,107,0.679344218,-11.06130484,1.744597332,P1,1,0.960332675,RIJC334
30,107,0.316389078,-3.292378926,0.796327692,P2,1,0.999750606,RIJC334
31,108,0.379906817,-4.325422555,0.957980793,P3,1,0.996031141,RIJC214
32,108,0.332995908,-3.462036206,0.842318341,P2,1,0.98982319,RIJC214
33,108,0.292250461,-3.493877483,0.748359489,P1,1,0.965877876,RIJC214
34,109,0.121283155,-0.980895012,0.30679579,P2,1,0.989770551,RIJC238
35,109,0.01908766,1.204643242,0.107484655,P3,1,0.199730696,RIJC238
36,109,0.079371805,0.778722843,0.200440053,P1,1,0.993106545,RIJC238
37,11,0.286232989,-2.398233958,0.86747908,P1,1,0.979859621,TM2
38,11,0.30023615,-2.519008218,0.908885906,P2,1,0.982086487,TM2
39,11,0.298738453,-2.782823957,0.897244742,P3,1,0.997706774,TM2
40,110,0.161439355,-1.467155486,0.41352498,P3,1,0.965267476,RIJC352
41,110,0.26660783,-4.309395117,0.702019311,P1,1,0.913440009,RIJC352
42,110,0.124688402,-0.72976679,0.670086765,P2,1,0.219291794,RIJC352
43,111,0.17525991,-1.564626839,0.441985997,P2,1,0.995819204,RIJC314
44,111,0.184378956,-1.321720124,0.464090691,P1,1,0.999653145,RIJC314
45,111,0.233270338,-3.028301561,0.589315929,P3,1,0.992327491,RIJC314
46,112,0.279953311,-2.642608311,0.705449809,P2,1,0.9974045,RIJC235
47,112,0.254816469,-2.52212747,0.654040302,P3,1,0.961342874,RIJC235
48,112,0.211246613,-1.99684987,0.539606507,P1,1,0.970638471,RIJC235
49,113,0.162779052,-1.591997083,0.436011596,P2,1,0.882740997,RIJC076
50,113,0.225389147,-2.204594141,0.569553974,P3,1,0.991810208,RIJC076
51,113,0.089455331,0.404279353,0.225380872,P1,1,0.997724619,RIJC076
52,114,0.013438236,3.030405449,0.272197209,P2,1,0.015436525,RIJC241
53,114,0.163683897,-1.107947197,0.412782426,P1,1,0.995868189,RIJC241
54,114,0.207814186,-2.064753885,0.522988246,P3,1,0.999997402,RIJC241
55,115,0.175077752,-1.327621895,0.441040877,P2,1,0.998013881,RIJC244
56,115,0.057559566,1.367981409,0.164085305,P1,1,0.779341826,RIJC244
57,115,0.16899995,-1.051993514,0.430472578,P3,1,0.976145408,RIJC244
58,116,0.028170627,1.974556127,0.145583839,P2,1,0.237136845,TM7
59,116,0.075272856,0.9621694,0.266291032,P3,1,0.506053063,TM7
60,116,0.185656323,-1.657037153,0.46822604,P1,1,0.995727979,TM7
61,117,0.128256129,1.539858362,0.346545162,P2,1,0.867498874,RIJC035
62,117,0.211983815,-0.621149179,0.568131984,P3,1,0.881737431,RIJC035
