FLDAP,EMDAP,LOC,RIL
38.32078757,6.678106253,CT16_1,CAL
42.27343098,6.39497666,CT16_1,JAM
41.39560225,9.220033311,CT16_1,RIJC001
46.31090437,8.186529886,CT16_1,RIJC002
33.09253274,6.616924438,CT16_1,RIJC003
41.61567638,8.09096713,CT16_1,RIJC004
42.24964019,6.593234999,CT16_1,RIJC005
37.55823445,10.22439636,CT16_1,RIJC015
43.80006375,7.848165726,CT16_1,RIJC016
47.2522744,6.61151167,CT16_1,RIJC017
48.97930079,9.74918442,CT16_1,RIJC018
43.69302835,11.12168332,CT16_1,RIJC019
39.3798792,5.628521584,CT16_1,RIJC020
38.64712408,7.822923205,CT16_1,RIJC021
46.26426522,8.491468818,CT16_1,RIJC025
45.88335233,8.333581225,CT16_1,RIJC027
47.68315045,7.890274021,CT16_1,RIJC030
34.89438529,6.075642582,CT16_1,RIJC035
43.11693436,9.304836875,CT16_1,RIJC045
39.3299785,8.773063656,CT16_1,RIJC046
37.07401559,6.258576728,CT16_1,RIJC047
43.4678768,8.09414839,CT16_1,RIJC048
35.26239165,8.660976376,CT16_1,RIJC049
40.58928255,7.3586577,CT16_1,RIJC059
38.64458858,6.826127333,CT16_1,RIJC065
43.70887949,7.613985107,CT16_1,RIJC066
41.97101717,5.939732447,CT16_1,RIJC069
46.52077429,9.246305845,CT16_1,RIJC070
50.14171353,8.162820362,CT16_1,RIJC071
36.57202871,7.079830219,CT16_1,RIJC073
38.56878857,7.217000254,CT16_1,RIJC074
42.29540711,7.226582865,CT16_1,RIJC076
36.10990244,6.505314396,CT16_1,RIJC078
40.53251691,8.099119875,CT16_1,RIJC079
34.2965552,6.799596058,CT16_1,RIJC080
42.81155238,10.07760013,CT16_1,RIJC081
37.61161499,6.87980607,CT16_1,RIJC082
42.0578006,6.319912605,CT16_1,RIJC136
38.16846807,9.119840068,CT16_1,RIJC138
42.08323486,5.537113624,CT16_1,RIJC139
42.31923298,8.890082733,CT16_1,RIJC140
40.89282244,6.491636603,CT16_1,RIJC141
50.31341078,8.703075507,CT16_1,RIJC142
43.40483166,8.53659931,CT16_1,RIJC144
42.85458254,7.259133774,CT16_1,RIJC145
38.58552449,8.354005774,CT16_1,RIJC146
46.19845639,9.026414018,CT16_1,RIJC147
45.03625266,7.02565294,CT16_1,RIJC203
37.94430093,5.6366602,CT16_1,RIJC205
42.78418317,8.227835919,CT16_1,RIJC206
43.74415801,6.437246629,CT16_1,RIJC208
45.11281192,6.779631194,CT16_1,RIJC212
43.14376623,6.918337181,CT16_1,RIJC214
34.26082834,6.190623658,CT16_1,RIJC217
37.90658006,6.49945963,CT16_1,RIJC220
45.70258811,6.965468358,CT16_1,RIJC223
38.37900315,6.818114134,CT16_1,RIJC224
39.18796021,6.571192978,CT16_1,RIJC225
41.68760385,6.704324381,CT16_1,RIJC230
45.63315122,6.399016188,CT16_1,RIJC232
41.72484213,7.17556072,CT16_1,RIJC233
44.147894,9.063120092,CT16_1,RIJC234
48.86121867,10.33668156,CT16_1,RIJC235
42.76331343,9.65109102,CT16_1,RIJC236
40.78608821,9.756251264,CT16_1,RIJC237
42.45455898,6.412723033,CT16_1,RIJC238
42.61663213,7.930327063,CT16_1,RIJC240
46.41884432,9.244858922,CT16_1,RIJC241
44.47495568,10.6113009,CT16_1,RIJC242
44.51186591,6.954534934,CT16_1,RIJC243
36.02507384,5.750920696,CT16_1,RIJC244
42.67691131,6.278889426,CT16_1,RIJC247
37.38187551,6.876158831,CT16_1,RIJC248
39.83948994,7.77072615,CT16_1,RIJC250
39.85237253,9.589834331,CT16_1,RIJC251
37.52585972,10.07081413,CT16_1,RIJC254
40.31487655,8.123889636,CT16_1,RIJC255
45.17165179,6.858944103,CT16_1,RIJC260
48.82726959,8.996588054,CT16_1,RIJC261
42.4858512,8.816132756,CT16_1,RIJC262
37.06150903,5.511104849,CT16_1,RIJC264
41.74865607,8.595116939,CT16_1,RIJC302
45.06874671,7.154634918,CT16_1,RIJC313
42.10999591,7.703965112,CT16_1,RIJC314
40.19153194,6.855626921,CT16_1,RIJC316
39.80095373,7.106253231,CT16_1,RIJC319
41.30345546,7.417421298,CT16_1,RIJC324
40.38111574,7.845448775,CT16_1,RIJC326
41.17412886,6.226984514,CT16_1,RIJC327
38.65373005,6.370153143,CT16_1,RIJC330
36.62810678,8.813950546,CT16_1,RIJC331
45.52233653,6.776717013,CT16_1,RIJC334
37.47734963,8.778909902,CT16_1,RIJC335
41.92117308,7.244604221,CT16_1,RIJC337
45.55973688,7.252911728,CT16_1,RIJC344
39.2477529,6.120685767,CT16_1,RIJC347
40.83812818,7.419512456,CT16_1,RIJC348
39.44904039,6.903864859,CT16_1,RIJC352
45.05702774,7.921073635,CT16_1,RIJC355
53.28203061,8.674468506,CT16_1,RIJC361
36.69084093,7.042471222,CT16_1,RIJC363
38.39789013,10.45387083,CT16_1,RIJC364
39.25491137,9.094440872,CT16_1,RIJC367
39.56855595,7.847246421,CT16_1,RIJC368
47.72952599,7.12278799,CT16_1,RIJC370
40.22747911,7.489869606,CT16_1,RIJC372
44.41991501,5.863523763,CT16_1,RIJC373
36.91876909,8.189703473,CT16_1,RIJC374
