Period,time,Tavg,Tmin,Tmax
3/23/2016,0:00,8.2,7.872222222,8.738888889
3/23/2016,1:00,7.783333333,7.377777778,8.05
3/23/2016,2:00,7.366666667,7.261111111,7.511111111
3/23/2016,3:00,6.8,6.633333333,7.15
3/23/2016,4:00,6.388888889,6.338888889,6.461111111
3/23/2016,5:00,6.422222222,6.322222222,6.522222222
3/23/2016,6:00,6.055555556,5.933333333,6.177777778
3/23/2016,7:00,9.061111111,6.705555556,11
3/23/2016,8:00,14.83888889,12.68888889,16.83888889
3/23/2016,9:00,20.18333333,18.38888889,21.67777778
3/23/2016,10:00,22.75,22.42777778,23.2
3/23/2016,11:00,23.87222222,23.37777778,24.3
3/23/2016,12:00,24.98888889,24.58888889,25.36111111
3/23/2016,13:00,25.86666667,25.36111111,26.33888889
3/23/2016,14:00,26.52222222,26.33888889,26.67222222
3/23/2016,15:00,27,26.92222222,27.16111111
3/23/2016,16:00,26.85,26.77777778,26.97222222
3/23/2016,17:00,26.25,25.91111111,26.47777778
3/23/2016,18:00,24.02777778,22.63888889,25.27777778
3/23/2016,19:00,18.97777778,17.42222222,20.62222222
3/23/2016,20:00,16.53888889,15.7,17.52777778
3/23/2016,21:00,18.96666667,18.01111111,19.56111111
3/23/2016,22:00,16.82222222,15.7,18.11111111
3/23/2016,23:00,15.23888889,15.03888889,15.56111111
3/24/2016,0:00,14.25555556,13.57222222,14.91111111
3/24/2016,1:00,12.89444444,12.6,13.27777778
3/24/2016,2:00,12.15,11.82222222,12.32777778
3/24/2016,3:00,11.31111111,10.93888889,11.62777778
3/24/2016,4:00,11.15,10.95,11.27222222
3/24/2016,5:00,10.79444444,10.6,10.97222222
3/24/2016,6:00,10.37777778,10.22777778,10.56111111
3/24/2016,7:00,12.17222222,10.47777778,13.93888889
3/24/2016,8:00,17.02777778,15.11111111,19.02777778
3/24/2016,9:00,21.87222222,20.12222222,23.31111111
3/24/2016,10:00,24.95555556,23.87222222,25.87777778
3/24/2016,11:00,26.57777778,25.92222222,26.98888889
3/24/2016,12:00,27.35555556,27.07222222,27.72222222
3/24/2016,13:00,28.22777778,27.97222222,28.75
3/24/2016,14:00,28.69444444,28.08888889,29.27777778
3/24/2016,15:00,29.32777778,28.57777778,29.82777778
3/24/2016,16:00,29.12777778,28.37222222,29.7
3/24/2016,17:00,28.19444444,26.95,28.77777778
3/24/2016,18:00,23.63888889,22.37222222,24.9
3/24/2016,19:00,21.12222222,20.65,21.92777778
3/24/2016,20:00,21.29444444,20.62222222,21.8
3/24/2016,21:00,21.75,21.47222222,21.9
3/24/2016,22:00,19.17777778,17.08888889,20.87777778
3/24/2016,23:00,17.1,17.05,17.15
3/25/2016,0:00,16.95,16.86111111,17.03888889
3/25/2016,1:00,16.80555556,16.77222222,16.83888889
3/25/2016,2:00,16.82777778,16.77777778,16.85
3/25/2016,3:00,16.93333333,16.87777778,17.02777778
3/25/2016,4:00,17.27222222,17.17777778,17.37222222
3/25/2016,5:00,17.28333333,17.21111111,17.31111111
3/25/2016,6:00,17.81666667,17.32222222,18.66111111
3/25/2016,7:00,19.25,19.18888889,19.28888889
3/25/2016,8:00,19.9,19.32222222,20.47777778
3/25/2016,9:00,21.59444444,20.47777778,22.38888889
3/25/2016,10:00,22.55555556,22.48888889,22.6
3/25/2016,11:00,22.71666667,22.56111111,22.83888889
3/25/2016,12:00,23.22777778,22.97777778,23.42777778
3/25/2016,13:00,23.72222222,23.27222222,24.1
3/25/2016,14:00,23.22777778,22.87777778,23.5
3/25/2016,15:00,23.08888889,22.77222222,23.72222222
3/25/2016,16:00,23.78333333,23.51111111,23.97222222
3/25/2016,17:00,22.91111111,22.58888889,23.28888889
3/25/2016,18:00,21.90555556,21.42777778,22.33888889
3/25/2016,19:00,20.46111111,20.07777778,20.83888889
3/25/2016,20:00,20.28888889,20.22777778,20.36111111
3/25/2016,21:00,20.07222222,20,20.11111111
3/25/2016,22:00,20.04444444,20,20.07222222
3/25/2016,23:00,20.09444444,19.97222222,20.16111111
3/26/2016,0:00,19.67222222,19.55,19.86111111
3/26/2016,1:00,19.57777778,19.52777778,19.62222222
3/26/2016,2:00,20.07222222,19.73888889,20.41111111
3/26/2016,3:00,20.17777778,19.95,20.43888889
3/26/2016,4:00,19.71111111,19.62777778,19.82777778
3/26/2016,5:00,19.82222222,19.62222222,20.06111111
3/26/2016,6:00,19.91666667,19.62777778,20.16111111
3/26/2016,7:00,20.4,19.63888889,20.92777778
3/26/2016,8:00,21.28888889,21.12222222,21.51111111
3/26/2016,9:00,21.93333333,21.71111111,22.17222222
3/26/2016,10:00,22.9,22.33888889,23.51111111
3/26/2016,11:00,24.76111111,24.02222222,25.3
3/26/2016,12:00,25.76666667,25.12222222,26.13888889
3/26/2016,13:00,26.73888889,26.31111111,27.07222222
3/26/2016,14:00,27.07777778,26.48888889,27.62222222
3/26/2016,15:00,26.22222222,26.1,26.38888889
3/26/2016,16:00,25.81666667,25.61111111,26.05
3/26/2016,17:00,25.34444444,25.12777778,25.42777778
3/26/2016,18:00,24.47222222,24.02222222,25.11111111
3/26/2016,19:00,23.61111111,23.37777778,23.86111111
3/26/2016,20:00,22.97222222,22.62222222,23.27777778
3/26/2016,21:00,22.52777778,22.48888889,22.6
3/26/2016,22:00,22.23333333,22,22.38888889
3/26/2016,23:00,21.68333333,21.56111111,21.78888889
3/27/2016,0:00,21.47222222,21.33888889,21.56111111
3/27/2016,1:00,21.17777778,21.03888889,21.36111111
3/27/2016,2:00,21.48333333,21.42222222,21.57222222
3/27/2016,3:00,21.66666667,21.65,21.67777778
3/27/2016,4:00,21.51111111,21.43888889,21.61111111
3/27/2016,5:00,21.82777778,21.68888889,21.93888889
